Time(s),CH1V,CH2V,CH3V
-6.520000e-04,4.911067e+00,3.981600e+00,-1.320000e-02
-6.500000e-04,4.915733e+00,3.997867e+00,-1.786667e-02
-6.480000e-04,4.915733e+00,3.979333e+00,-3.640000e-02
-6.460000e-04,4.906400e+00,3.974667e+00,-8.666667e-03
-6.440000e-04,4.915733e+00,3.988533e+00,-1.786667e-02
-6.420000e-04,4.913333e+00,3.988533e+00,-1.560000e-02
-6.400000e-04,4.901733e+00,3.981600e+00,-1.320000e-02
-6.380000e-04,4.913333e+00,3.986267e+00,-1.093333e-02
-6.360000e-04,4.915733e+00,3.974667e+00,-1.320000e-02
-6.340000e-04,4.913333e+00,3.970000e+00,-1.560000e-02
-6.320000e-04,4.913333e+00,3.986267e+00,-1.320000e-02
-6.300000e-04,4.899333e+00,3.990933e+00,-1.560000e-02
-6.280000e-04,4.906400e+00,3.981600e+00,-1.786667e-02
-6.260000e-04,4.911067e+00,3.986267e+00,-2.480000e-02
-6.240000e-04,4.913333e+00,3.976933e+00,-1.560000e-02
-6.220000e-04,4.897067e+00,3.979333e+00,-6.266667e-03
-6.200000e-04,4.915733e+00,3.976933e+00,-1.320000e-02
-6.180000e-04,4.908667e+00,3.981600e+00,-1.786667e-02
-6.160000e-04,4.901733e+00,3.974667e+00,-1.786667e-02
-6.140000e-04,4.906400e+00,3.986267e+00,-1.320000e-02
-6.120000e-04,4.911067e+00,3.988533e+00,-1.093333e-02
-6.100000e-04,4.906400e+00,3.979333e+00,-1.320000e-02
-6.080000e-04,4.890000e+00,3.995600e+00,-1.320000e-02
-6.060000e-04,4.911067e+00,3.988533e+00,-1.320000e-02
-6.040000e-04,4.908667e+00,3.981600e+00,-1.786667e-02
-6.020000e-04,4.911067e+00,4.000267e+00,-1.320000e-02
-6.000000e-04,4.911067e+00,3.990933e+00,-1.093333e-02
-5.980000e-04,4.918133e+00,3.995600e+00,-1.600000e-03
-5.960000e-04,4.922800e+00,3.986267e+00,-1.786667e-02
-5.940000e-04,4.897067e+00,3.997867e+00,-1.786667e-02
